2026-01-16 14:54:31,591 - scripts.literature_database - INFO - Database initialized at data/literature.db
2026-01-16 14:54:31,591 - __main__ - INFO - Found 0 PMIDs in database
2026-01-16 14:54:31,799 - __main__ - INFO - Found 141 JSON files
2026-01-16 14:54:31,800 - __main__ - INFO - Total existing PMIDs: 140
2026-01-16 14:54:31,800 - scripts.literature_database - INFO - Database initialized at data/literature.db
2026-01-16 14:54:31,801 - __main__ - INFO - Found 0 PMIDs in database
2026-01-16 14:54:31,818 - __main__ - INFO - Found 141 JSON files
2026-01-16 14:54:31,818 - __main__ - INFO - Total existing PMIDs: 140
2026-01-16 14:54:31,862 - scripts.literature_database - INFO - Database initialized at data/literature.db
2026-01-16 14:54:31,862 - __main__ - INFO - Starting scrape...
2026-01-16 14:54:31,862 - __main__ - INFO - Scraper will check for duplicates against 140 existing PMIDs
2026-01-16 14:54:31,862 - scripts.literature_database - INFO - Database initialized at data/literature.db
2026-01-16 14:54:31,863 - __main__ - INFO - Found 0 PMIDs in database
2026-01-16 14:54:31,881 - __main__ - INFO - Found 141 JSON files
2026-01-16 14:54:31,882 - __main__ - INFO - Total existing PMIDs: 140
2026-01-16 14:54:31,882 - __main__ - INFO - Running query 1/5: ("knee osteoarthritis"[Title/Abstract] OR "knee OA"[Title/Abstract] OR "Osteoart...
2026-01-16 14:54:32,882 - scripts.pubmed_scraper - INFO - Found 5000 articles matching query
2026-01-16 14:54:32,883 - __main__ - INFO - Found 5000 PMIDs, processing...
2026-01-16 14:54:32,888 - scripts.pubmed_scraper - INFO - Article 40623486 already exists with full details, skipping
2026-01-16 14:54:32,891 - scripts.pubmed_scraper - INFO - Article 40562084 already exists with full details, skipping
2026-01-16 14:54:32,894 - scripts.pubmed_scraper - INFO - Article 40553946 already exists with full details, skipping
2026-01-16 14:54:32,897 - scripts.pubmed_scraper - INFO - Article 40543827 already exists with full details, skipping
2026-01-16 14:54:32,899 - scripts.pubmed_scraper - INFO - Article 41517786 already exists with full details, skipping
2026-01-16 14:54:32,902 - scripts.pubmed_scraper - INFO - Article 41498625 already exists with full details, skipping
2026-01-16 14:54:32,905 - scripts.pubmed_scraper - INFO - Article 41494148 already exists with full details, skipping
2026-01-16 14:54:32,908 - scripts.pubmed_scraper - INFO - Article 41482930 already exists with full details, skipping
2026-01-16 14:54:32,910 - scripts.pubmed_scraper - INFO - Article 41525123 already exists with full details, skipping
2026-01-16 14:54:32,913 - scripts.pubmed_scraper - INFO - Article 41476405 already exists with full details, skipping
2026-01-16 14:54:32,916 - scripts.pubmed_scraper - INFO - Article 41448161 already exists with full details, skipping
2026-01-16 14:54:32,917 - scripts.pubmed_scraper - INFO - Article 41308435 already exists with full details, skipping
2026-01-16 14:54:32,920 - scripts.pubmed_scraper - INFO - Article 41269019 already exists with full details, skipping
2026-01-16 14:54:32,923 - scripts.pubmed_scraper - INFO - Article 41243385 already exists with full details, skipping
2026-01-16 14:54:32,926 - scripts.pubmed_scraper - INFO - Article 41207748 already exists with full details, skipping
2026-01-16 14:54:32,927 - scripts.pubmed_scraper - INFO - Article 41175923 already exists with full details, skipping
2026-01-16 14:54:32,929 - scripts.pubmed_scraper - INFO - Article 41144725 already exists with full details, skipping
2026-01-16 14:54:32,934 - scripts.pubmed_scraper - INFO - Article 40987186 already exists with full details, skipping
2026-01-16 14:54:32,937 - scripts.pubmed_scraper - INFO - Article 40911070 already exists with full details, skipping
2026-01-16 14:54:32,941 - scripts.pubmed_scraper - INFO - Article 40886079 already exists with full details, skipping
2026-01-16 14:54:32,944 - scripts.pubmed_scraper - INFO - Article 40878711 already exists with full details, skipping
2026-01-16 14:54:32,947 - scripts.pubmed_scraper - INFO - Article 40738134 already exists with full details, skipping
2026-01-16 14:54:32,948 - scripts.pubmed_scraper - INFO - Article 40719149 already exists with full details, skipping
2026-01-16 14:54:32,950 - scripts.pubmed_scraper - INFO - Article 40686054 already exists with full details, skipping
2026-01-16 14:54:32,953 - scripts.pubmed_scraper - INFO - Article 40679259 already exists with full details, skipping
2026-01-16 14:54:32,956 - scripts.pubmed_scraper - INFO - Article 40679230 already exists with full details, skipping
2026-01-16 14:54:32,959 - scripts.pubmed_scraper - INFO - Article 40581824 already exists with full details, skipping
2026-01-16 14:54:32,962 - scripts.pubmed_scraper - INFO - Article 40513905 already exists with full details, skipping
2026-01-16 14:54:32,964 - scripts.pubmed_scraper - INFO - Article 40513904 already exists with full details, skipping
2026-01-16 14:54:32,966 - scripts.pubmed_scraper - INFO - Article 40480332 already exists with full details, skipping
2026-01-16 14:54:32,968 - scripts.pubmed_scraper - INFO - Article 40452309 already exists with full details, skipping
2026-01-16 14:54:32,970 - scripts.pubmed_scraper - INFO - Article 41452403 already exists with full details, skipping
2026-01-16 14:54:32,972 - scripts.pubmed_scraper - INFO - Article 41516571 already exists with full details, skipping
2026-01-16 14:54:32,974 - scripts.pubmed_scraper - INFO - Article 41432963 already exists with full details, skipping
2026-01-16 14:54:32,978 - scripts.pubmed_scraper - INFO - Article 41359919 already exists with full details, skipping
2026-01-16 14:54:32,981 - scripts.pubmed_scraper - INFO - Article 41351159 already exists with full details, skipping
2026-01-16 14:54:32,982 - scripts.pubmed_scraper - INFO - Article 41329855 already exists with full details, skipping
2026-01-16 14:54:32,985 - scripts.pubmed_scraper - INFO - Article 41324217 already exists with full details, skipping
2026-01-16 14:54:32,989 - scripts.pubmed_scraper - INFO - Article 41319699 already exists with full details, skipping
2026-01-16 14:54:32,991 - scripts.pubmed_scraper - INFO - Article 41198532 already exists with full details, skipping
2026-01-16 14:54:32,993 - scripts.pubmed_scraper - INFO - Article 41135283 already exists with full details, skipping
2026-01-16 14:54:32,995 - scripts.pubmed_scraper - INFO - Article 41101037 already exists with full details, skipping
2026-01-16 14:54:32,999 - scripts.pubmed_scraper - INFO - Article 41086554 already exists with full details, skipping
2026-01-16 14:54:33,001 - scripts.pubmed_scraper - INFO - Article 41061394 already exists with full details, skipping
2026-01-16 14:54:33,003 - scripts.pubmed_scraper - INFO - Article 41045295 already exists with full details, skipping
2026-01-16 14:54:33,004 - scripts.pubmed_scraper - INFO - Article 41044992 already exists with full details, skipping
2026-01-16 14:54:33,007 - scripts.pubmed_scraper - INFO - Article 40939541 already exists with full details, skipping
2026-01-16 14:54:33,008 - scripts.pubmed_scraper - INFO - Article 40896854 already exists with full details, skipping
2026-01-16 14:54:33,011 - scripts.pubmed_scraper - INFO - Article 40882470 already exists with full details, skipping
2026-01-16 14:54:33,013 - scripts.pubmed_scraper - INFO - Article 40882469 already exists with full details, skipping
2026-01-16 14:54:33,014 - scripts.literature_database - INFO - Database initialized at data/literature.db
